address_id	address_organisation	address_organisationsbereich	bezeichnung	address_strasse	address_hausnummer	address_postleitzahl	address_ort	latitude	longitude	service_id	service_email	service_oeffnungszeiten	service_barrierefreiheit_anmerkung	service_bezeichnung	service_anzeigename	service_beschreibung	service_kurzbeschreibung	gebuehren	betreiber	duschen	wickelraeume
10198372	Landeshauptstadt München	Baureferat	Öffentliche Toilettenkabine Isarauen	südlich Wittelsbacherbrücke, bei Bolzplatz				48.1216390	11.5680187	10198373		nicht bei Hochwasser		"Öffentliche Toilettenkabine Isarauen ""südlich Wittelsbacherbrücke, bei Bolzplatz"""	"Öffentliche Toilettenkabine Isarauen ""südlich Wittelsbacherbrücke, bei Bolzplatz"""		nicht bei Hochwasser	gebührenfrei	Landeshauptstadt München	FALSE	FALSE
10198374	Landeshauptstadt München	Baureferat	Öffentliche Toilettenkabine Isarauen	westlich Eduard-Schmid-Str.				48.1236218	11.5716082	10198375		nicht bei Hochwasser		"Öffentliche Toilettenkabine Isarauen ""westlich Eduard-Schmid-Str."""	"Öffentliche Toilettenkabine Isarauen ""westlich Eduard-Schmid-Str."""		nicht bei Hochwasser	gebührenfrei	Landeshauptstadt München	FALSE	FALSE
10198376	Landeshauptstadt München	Baureferat	Öffentliche Toilettenkabine Isarauen	südlich Reichenbachbrücke				48.1266296	11.5774232	10198377		nicht bei Hochwasser		"Öffentliche Toilettenkabine Isarauen ""südlich Reichenbachbrücke"""	"Öffentliche Toilettenkabine Isarauen ""südlich Reichenbachbrücke"""		nicht bei Hochwasser	gebührenfrei	Landeshauptstadt München	FALSE	FALSE
10198378	Landeshauptstadt München	Baureferat	Öffentliche Toilettenkabine Isarauen	südwestlich Brudermühlbrücke				48.1236146	11.5715974	10198379		nicht bei Hochwasser		"Öffentliche Toilettenkabine Isarauen ""südwestlich Brudermühlbrücke"""	"Öffentliche Toilettenkabine Isarauen ""südwestlich Brudermühlbrücke"""		nicht bei Hochwasser	gebührenfrei	Landeshauptstadt München	FALSE	FALSE
10198380	Landeshauptstadt München	Baureferat	Öffentliche Toilettenkabine Isarauen	südwestlich Brudermühlbrücke 2				48.1116387	11.5591198	10198381		nicht bei Hochwasser		"Öffentliche Toilettenkabine Isarauen ""südwestlich Brudermühlbrücke 2"""	"Öffentliche Toilettenkabine Isarauen ""südwestlich Brudermühlbrücke 2"""		nicht bei Hochwasser	gebührenfrei	Landeshauptstadt München	FALSE	FALSE
10198382	Landeshauptstadt München	Baureferat	Öffentliche Toilettenkabine Isarauen	südwestlich Brudermühlbrücke				48.1095685	11.5588838	10198383		nicht bei Hochwasser		"Öffentliche Toilettenkabine Isarauen ""südwestlich Brudermühlbrücke"""	"Öffentliche Toilettenkabine Isarauen ""südwestlich Brudermühlbrücke"""		nicht bei Hochwasser	gebührenfrei	Landeshauptstadt München	FALSE	FALSE
10198384	Landeshauptstadt München	Baureferat	Öffentliche Toilettenkabine Isarauen	Praterinsel				48.1352285	11.5888463	10198385		nicht bei Hochwasser		"Öffentliche Toilettenkabine Isarauen ""Praterinsel"""	"Öffentliche Toilettenkabine Isarauen ""Praterinsel"""		nicht bei Hochwasser	gebührenfrei	Landeshauptstadt München	FALSE	FALSE
10198386	Landeshauptstadt München	Baureferat	Öffentliche Toilettenkabine Isarauen	Karl-Müller-Weg, nördlich Volksbad				48.1333489	11.5887980	10198387		nicht bei Hochwasser		"Öffentliche Toilettenkabine Isarauen ""Karl-Müller-Weg, nördlich Volksbad"""	"Öffentliche Toilettenkabine Isarauen ""Karl-Müller-Weg, nördlich Volksbad"""		nicht bei Hochwasser	gebührenfrei	Landeshauptstadt München	FALSE	FALSE
10198388	Landeshauptstadt München	Baureferat	Öffentliche Toilettenkabine Isarauen	nördlich Wasserwacht an der Marienklausenbrücke				48.0944531	11.5489940	10198389		nicht bei Hochwasser		"Öffentliche Toilettenkabine Isarauen ""nördlich Wasserwacht an der Marienklausenbrücke"""	"Öffentliche Toilettenkabine Isarauen ""nördlich Wasserwacht an der Marienklausenbrücke"""		nicht bei Hochwasser	gebührenfrei	Landeshauptstadt München	FALSE	FALSE
10198390	Landeshauptstadt München	Baureferat	Öffentliche Toilettenkabine Isarauen	nördlich des Flaucherstegs				48.1074503	11.5526311	10198391		nicht bei Hochwasser		"Öffentliche Toilettenkabine Isarauen ""nördlich des Flaucherstegs"""	"Öffentliche Toilettenkabine Isarauen ""nördlich des Flaucherstegs"""		nicht bei Hochwasser	gebührenfrei	Landeshauptstadt München	FALSE	FALSE
10198392	Landeshauptstadt München	Baureferat	Öffentliche Toilettenkabine Isarauen	Rosengarten an der Isar, Sachsenstraße				48.1177977	11.5658598	10198393		nicht bei Hochwasser		"Öffentliche Toilettenkabine Isarauen ""Rosengarten an der Isar, Sachsenstraße"""	"Öffentliche Toilettenkabine Isarauen ""Rosengarten an der Isar, Sachsenstraße"""		nicht bei Hochwasser	gebührenfrei	Landeshauptstadt München	FALSE	FALSE
103829	Landeshauptstadt München	Referat für Gesundheit und Umwelt	Friedhof Daglfing	Kohlbrennerstraße	19	81929	München	48.1522575	11.6573275	10176168		während der Öffnungszeiten des Friedhofs		"Öffentliche Toilette ""Friedhof Daglfing"""	"Öffentliche Toilette ""Friedhof Daglfing"""			gebührenfrei	Landeshauptstadt München	FALSE	FALSE
103831	Landeshauptstadt München	Referat für Gesundheit und Umwelt	Friedhof Haidhausen	Einsteinstraße	74	81675	München	48.1332798	11.6045192	10176169		während der Öffnungszeiten des Friedhofs		"Öffentliche Toilette ""Friedhof Haidhausen"""	"Öffentliche Toilette ""Friedhof Haidhausen"""			gebührenfrei	Landeshauptstadt München	FALSE	FALSE
103833	Landeshauptstadt München	Referat für Gesundheit und Umwelt	Friedhof Riem	Am Mitterfeld	68	81829	München	48.1321057	11.6800315	10176170		während der Öffnungszeiten des Friedhofs		"Öffentliche Toilette ""Friedhof Riem"""	"Öffentliche Toilette ""Friedhof Riem"""			gebührenfrei	Landeshauptstadt München	FALSE	FALSE
103835	Landeshauptstadt München	Referat für Gesundheit und Umwelt	Friedhof Feldmoching	Am Gottesackerweg	53	80995	München	48.2160130	11.5260110	10176175		während der Öffnungszeiten des Friedhofs		"Öffentliche Toilette ""Friedhof Feldmoching"""	"Öffentliche Toilette ""Friedhof Feldmoching"""			gebührenfrei	Landeshauptstadt München	FALSE	FALSE
103841	Landeshauptstadt München	Referat für Gesundheit und Umwelt	Friedhof Sendling	Albert-Roßhaupter-Straße	5	81369	München	48.1166359	11.5363610	10176171		während der Öffnungszeiten des Friedhofs		"Öffentliche Toilette ""Friedhof Sendling"""	"Öffentliche Toilette ""Friedhof Sendling"""			gebührenfrei	Landeshauptstadt München	FALSE	FALSE
103843	Landeshauptstadt München	Referat für Gesundheit und Umwelt	Friedhof Solln	Friedhofweg	1	81479	München	48.0786754	11.5174349	10176180		während der Öffnungszeiten des Friedhofs		"Öffentliche Toilette ""Friedhof Solln"""	"Öffentliche Toilette ""Friedhof Solln"""			gebührenfrei	Landeshauptstadt München	FALSE	FALSE
103845	Landeshauptstadt München	Referat für Gesundheit und Umwelt	Waldfriedhof Solln	Warnbergstraße	2	81479	München	48.0681516	11.5131724	10176181		während der Öffnungszeiten des Friedhofs		"Öffentliche Toilette ""Waldfriedhof Solln"""	"Öffentliche Toilette ""Waldfriedhof Solln"""			gebührenfrei	Landeshauptstadt München	FALSE	FALSE
103847	Landeshauptstadt München	Referat für Gesundheit und Umwelt	Friedhof Perlach	Putzbrunner Straße	51	81739	München	48.0983192	11.6409703	10198394		während der Öffnungszeiten des Friedhofs		"Öffentliche Toilette ""Friedhof Perlach"""	"Öffentliche Toilette ""Friedhof Perlach"""			"gebührenfrei
gebührenfrei"	Landeshauptstadt München	FALSE	FALSE
1049891	Landeshauptstadt München	Referat für Gesundheit und Umwelt	Friedhof Allach	Eversbuschstraße	197	80999	München	48.2003300	11.4570771	10176185		während der Öffnungszeiten des Friedhofs		"Öffentliche Toilette ""Friedhof Allach"""	"Öffentliche Toilette ""Friedhof Allach"""			gebührenfrei	Landeshauptstadt München	FALSE	FALSE
1049893	Landeshauptstadt München	Referat für Gesundheit und Umwelt	Friedhof Aubing	Freihamer Weg	73	81249	München	48.1545708	11.4094021	10176186		während der Öffnungszeiten des Friedhofs	mit Behinderten-WC	"Öffentliche Toilette ""Friedhof Aubing"""	"Öffentliche Toilette ""Friedhof Aubing"""	mit Behinderten-WC		gebührenfrei	Landeshauptstadt München	FALSE	FALSE
1049895	Landeshauptstadt München	Referat für Gesundheit und Umwelt	Friedhof Lochhausen	Schussenrieder Straße	36	81249	München	48.1840833	11.4064665	10176187		während der Öffnungszeiten des Friedhofs		"Öffentliche Toilette ""Friedhof Lochhausen"""	"Öffentliche Toilette ""Friedhof Lochhausen"""			gebührenfrei	Landeshauptstadt München	FALSE	FALSE
1049897	Landeshauptstadt München	Referat für Gesundheit und Umwelt	Friedhof Pasing	Lampertstraße	1	81241	München	48.1369567	11.4576911	10176183		während der Öffnungszeiten des Friedhofs	mit Behinderten-WC	"Öffentliche Toilette ""Friedhof Pasing"""	"Öffentliche Toilette ""Friedhof Pasing"""	mit Behinderten-WC		gebührenfrei	Landeshauptstadt München	FALSE	FALSE
1049899	Landeshauptstadt München	Referat für Gesundheit und Umwelt	Friedhof Untermenzing	Eversbuschstraße	9a	80999	München	48.1776690	11.4604223	10176184		während der Öffnungszeiten des Friedhofs		"Öffentliche Toilette ""Friedhof Untermenzing"""	"Öffentliche Toilette ""Friedhof Untermenzing"""			gebührenfrei	Landeshauptstadt München	FALSE	FALSE
1060490	Landeshauptstadt München	Referat für Gesundheit und Umwelt	Nordfriedhof	Ungererstr.	130	80805	München	48.1748661	11.6002139	10176173	sfm-gv-nord.rgu@muenchen.de	während der Öffnungszeiten des Friedhofs	mit Behinderten-WC	"Öffentliche Toilette ""Nordfriedhof"""	"Öffentliche Toilette ""Nordfriedhof"""	mit Behinderten-WC		gebührenfrei	Landeshauptstadt München	FALSE	FALSE
1060535	Landeshauptstadt München	Referat für Gesundheit und Umwelt	Westfriedhof	Baldurstr.	28	80637	München	48.1693044	11.5256368	10176174	sfm-gv-west.rgu@muenchen.de	während der Öffnungszeiten des Friedhofs	mit Behinderten-WC	"Öffentliche Toilette ""Westfriedhof"""	"Öffentliche Toilette ""Westfriedhof"""	mit Behinderten-WC		gebührenfrei	Landeshauptstadt München	FALSE	FALSE
1060537	Landeshauptstadt München	Referat für Gesundheit und Umwelt	Waldfriedhof Neuer Teil	Lorettoplatz	3	81377	München	48.1003904	11.4863302	10176178	sfm-gv-wnt.rgu@muenchen.de	während der Öffnungszeiten des Friedhofs	mit Behinderten-WC	"Öffentliche Toilette ""Waldfriedhof Neuer Teil"""	"Öffentliche Toilette ""Waldfriedhof Neuer Teil"""	mit Behinderten-WC		gebührenfrei	Landeshauptstadt München	FALSE	FALSE
1060538	Landeshauptstadt München	Referat für Gesundheit und Umwelt	Friedhof Pasing/Obermenzing	Bergsonstraße	32	81245	München	48.1662985	11.4493563	10176182	sfm-gv-pom.rgu@muenchen.de	während der Öffnungszeiten des Friedhofs	mit Behinderten-WC	"Öffentliche Toilette ""Friedhof Pasing/Obermenzing"""	"Öffentliche Toilette ""Friedhof Pasing/Obermenzing"""	mit Behinderten-WC		gebührenfrei	Landeshauptstadt München	FALSE	FALSE
1060539	Landeshauptstadt München	Referat für Gesundheit und Umwelt	Waldfriedhof Alter Teil	Fuerstenrieder Str.	288	81377	München	48.1091163	11.5001094	10176179	sfm-gv-wat.rgu@muenchen.de	während der Öffnungszeiten des Friedhofs	mit Behinderten-WC	"Öffentliche Toilette ""Waldfriedhof Alter Teil"""	"Öffentliche Toilette ""Waldfriedhof Alter Teil"""	mit Behinderten-WC		gebührenfrei	Landeshauptstadt München	FALSE	FALSE
1060540	Landeshauptstadt München	Referat für Gesundheit und Umwelt	Friedhof am Perlacher Forst	Stadelheimer Straße	24	81549	München	48.0996733	11.5963591	10176176	sfm-gv-perl.rgu@muenchen.de	während der Öffnungszeiten des Friedhofs	mit Behinderten-WC	"Öffentliche Toilette ""Friedhof am Perlacher Forst"""	"Öffentliche Toilette ""Friedhof am Perlacher Forst"""	mit Behinderten-WC		gebührenfrei	Landeshauptstadt München	FALSE	FALSE
1060541	Landeshauptstadt München	Referat für Gesundheit und Umwelt	Krematorium	St.-Martin-Str.	41	81541	München	48.1201859	11.5954773	10176172	krematorium-gv@muenchen.de	während der Öffnungszeiten des Friedhofs		"Öffentliche Toilette ""Städtische Friedhöfe München Krematorium"""	"Öffentliche Toilette ""Städtische Friedhöfe München Krematorium"""			gebührenfrei	Landeshauptstadt München	FALSE	FALSE
1065591	Landeshauptstadt München	MTG	"Öffentliche Toilette ""Aidenbachstraße (im U-Bahnhof)"""					48.0980482	11.5241144	1065592	info@muenchner-toiletten.de	Täglich, 06.00-24.00 Uhr	Barrierefrei zugänglich (Aufzug) - separates Behinderten-WC	"Öffentliche Toilette ""Aidenbachstraße (im U-Bahnhof)"""	"Öffentliche Toilette ""Aidenbachstraße (im U-Bahnhof)"""	mit separatem Behinderten-WC		gebührenfrei	Münchner Toiletten GmbH	FALSE	FALSE
1065593	Landeshauptstadt München	MTG	"Öffentliche Toilette ""Am Harras (im U-Bahnhof)"""					48.1169826	11.5381495	1065594	info@muenchner-toiletten.de	Täglich, 06.00-24.00 Uhr	Barrierefrei zugänglich (Rampe)	"Öffentliche Toilette ""Am Harras (im U-Bahnhof)"""	"Öffentliche Toilette ""Am Harras (im U-Bahnhof)"""			gebührenfrei	Münchner Toiletten GmbH	FALSE	FALSE
1065595	Landeshauptstadt München	MTG	"Öffentliche Toilette ""Am Hart (im U-Bahnhof)"""					48.1954889	11.5715441	1065596	info@muenchner-toiletten.de	Täglich, 06.00-24.00 Uhr	Barrierefrei zugänglich (Aufzug) - separates Behinderten-WC	"Öffentliche Toilette ""Am Hart (im U-Bahnhof)"""	"Öffentliche Toilette ""Am Hart (im U-Bahnhof)"""	mit separatem Behinderten-WC		gebührenfrei	Münchner Toiletten GmbH	FALSE	FALSE
1065599	Landeshauptstadt München	MTG	"Öffentliche Toilette ""Arabellapark (im U-Bahnhof)"""					48.1534624	11.6227647	1065600	info@muenchner-toiletten.de	Täglich, 06.00-24.00 Uhr	separates Behinderten-WC	"Öffentliche Toilette ""Arabellapark (im U-Bahnhof)"""	"Öffentliche Toilette ""Arabellapark (im U-Bahnhof)"""	mit separatem Behinderten-WC		gebührenfrei	Münchner Toiletten GmbH	FALSE	FALSE
1065601	Landeshauptstadt München	MTG	"Öffentliche Toilette ""Belgradstraße 113 (beim U-Bahnhof Scheidplatz)"""					48.1707962	11.5723277	1065602	info@muenchner-toiletten.de	Täglich, 06.00-24.00 Uhr	Barrierefrei zugänglich (Rampe) - separates Behinderten-WC	"Öffentliche Toilette ""Belgradstraße 113 (beim U-Bahnhof Scheidplatz)"""	"Öffentliche Toilette ""Belgradstraße 113 (beim U-Bahnhof Scheidplatz)"""	mit separatem Behinderten-WC		gebührenfrei	Münchner Toiletten GmbH	FALSE	FALSE
1065603	Landeshauptstadt München	MTG	"Öffentliche Toilette ""Böhmerwaldplatz (im U-Bahnhof)"""					48.1428966	11.6150349	1065604	info@muenchner-toiletten.de	Täglich, 06.00-24.00 Uhr	Barrierefrei zugänglich (Aufzug) - separates Behinderten-WC	"Öffentliche Toilette ""Böhmerwaldplatz (im U-Bahnhof)"""	"Öffentliche Toilette ""Böhmerwaldplatz (im U-Bahnhof)"""	mit separatem Behinderten-WC		gebührenfrei	Münchner Toiletten GmbH	FALSE	FALSE
1065605	Landeshauptstadt München	MTG	"Öffentliche Toilette ""Brudermühlstraße (im U-Bahnhof)"""					48.1129414	11.5486742	1065606	info@muenchner-toiletten.de	Täglich, 06.00-24.00 Uhr	Barrierefrei zugänglich (Aufzug) - integriertes Behinderten-WC	"Öffentliche Toilette ""Brudermühlstraße (im U-Bahnhof)"""	"Öffentliche Toilette ""Brudermühlstraße (im U-Bahnhof)"""	mit integriertem Behinderten-WC		gebührenfrei	Münchner Toiletten GmbH	FALSE	FALSE
1065607	Landeshauptstadt München	MTG	"Öffentliche Toilette ""Candidplatz (im U-Bahnhof)"""					48.1126041	11.5710105	1065608	info@muenchner-toiletten.de	Täglich, 06.00-24.00 Uhr	Barrierefrei zugänglich (Rampe) - separates Behinderten-WC	"Öffentliche Toilette ""Candidplatz (im U-Bahnhof)"""	"Öffentliche Toilette ""Candidplatz (im U-Bahnhof)"""	mit separatem Behinderten-WC		gebührenfrei	Münchner Toiletten GmbH	FALSE	FALSE
1065609	Landeshauptstadt München	MTG	"Öffentliche Toilette ""Dülferstraße (im U-Bahnhof)"""					48.2128129	11.5627478	1065610	info@muenchner-toiletten.de	Täglich, 06.00-24.00 Uhr	Barrierefrei zugänglich (Aufzug) - separates Behinderten-WC	"Öffentliche Toilette ""Dülferstraße (im U-Bahnhof)"""	"Öffentliche Toilette ""Dülferstraße (im U-Bahnhof)"""	mit separatem Behinderten-WC		gebührenfrei	Münchner Toiletten GmbH	FALSE	FALSE
1065611	Landeshauptstadt München	MTG	"Öffentliche Toilette ""Elisabethplatz 4c"""	Elisabethplatz	4c			48.1570978	11.5743366	1065612	info@muenchner-toiletten.de	Täglich, 06.00-24.00 Uhr	Barrierefrei zugänglich (Aufzug) - separates Behinderten-WC	"Öffentliche Toilette ""Elisabethplatz 4c"""	"Öffentliche Toilette ""Elisabethplatz 4c"""	mit separatem Behinderten-WC		gebührenfrei	Münchner Toiletten GmbH	FALSE	FALSE
1065613	Landeshauptstadt München	MTG	"Öffentliche Toilette ""Feldmoching (im U-Bahnhof)"""					48.2139000	11.5416664	1065614	info@muenchner-toiletten.de	Täglich, 06.00-24.00 Uhr	Barrierefrei zugänglich (Aufzug) - separates Behinderten-WC	"Öffentliche Toilette ""Feldmoching (im U-Bahnhof)"""	"Öffentliche Toilette ""Feldmoching (im U-Bahnhof)"""	mit separatem Behinderten-WC		gebührenfrei	Münchner Toiletten GmbH	FALSE	FALSE
1065615	Landeshauptstadt München	MTG	"Öffentliche Toilette ""Forstenrieder Allee (im U-Bahnhof)"""					48.0950690	11.4981645	1065616	info@muenchner-toiletten.de	Täglich, 06.00-24.00 Uhr	Barrierefrei zugänglich (Aufzug) - integriertes Behinderten-WC	"Öffentliche Toilette ""Forstenrieder Allee (im U-Bahnhof)"""	"Öffentliche Toilette ""Forstenrieder Allee (im U-Bahnhof)"""	mit integriertem Behinderten-WC		gebührenfrei	Münchner Toiletten GmbH	FALSE	FALSE
1065617	Landeshauptstadt München	MTG	"Öffentliche Toilette ""Frankfurter Ring (im U-Bahnhof)"""					48.1879383	11.5725618	1065618	info@muenchner-toiletten.de	Täglich, 06.00-24.00 Uhr	Barrierefrei zugänglich (Aufzug) - separates Behinderten-WC	"Öffentliche Toilette ""Frankfurter Ring (im U-Bahnhof)"""	"Öffentliche Toilette ""Frankfurter Ring (im U-Bahnhof)"""	mit separatem Behinderten-WC		gebührenfrei	Münchner Toiletten GmbH	FALSE	FALSE
1065619	Landeshauptstadt München	MTG	"Öffentliche Toilette ""Fraunhoferstraße (im U-Bahnhof)"""					48.1289507	11.5749450	1065620	info@muenchner-toiletten.de	Täglich, 06.00-24.00 Uhr	Barrierefrei zugänglich (Aufzug) - integriertes Behinderten-WC	"Öffentliche Toilette ""Fraunhoferstraße (im U-Bahnhof)"""	"Öffentliche Toilette ""Fraunhoferstraße (im U-Bahnhof)"""	mit integriertem Behinderten-WC		gebührenfrei	Münchner Toiletten GmbH	FALSE	FALSE
1065621	Landeshauptstadt München	MTG	"Öffentliche Toilette ""Friedenheimer Straße (im U-Bahnhof)"""					48.1352063	11.5106049	1065622	info@muenchner-toiletten.de	Täglich, 06.00-24.00 Uhr	Barrierefrei zugänglich (Aufzug) - integriertes Behinderten-WC	"Öffentliche Toilette ""Friedenheimer Straße (im U-Bahnhof)"""	"Öffentliche Toilette ""Friedenheimer Straße (im U-Bahnhof)"""	mit integriertem Behinderten-WC		gebührenfrei	Münchner Toiletten GmbH	FALSE	FALSE
1065623	Landeshauptstadt München	MTG	"Öffentliche Toilette ""Fürstenried West (beim U-Bahnhof)"""					48.0886781	11.4806823	1065624	info@muenchner-toiletten.de	Täglich, 06.00-24.00 Uhr	Barrierefrei zugänglich - Behinderten-WC an Oberfläche	"Öffentliche Toilette ""Fürstenried West (beim U-Bahnhof)"""	"Öffentliche Toilette ""Fürstenried West (beim U-Bahnhof)"""	mit Behinderten-WC an der Oberfläche		gebührenfrei	Münchner Toiletten GmbH	FALSE	FALSE
1065625	Landeshauptstadt München	MTG	"Öffentliche Toilette ""Giesing (im U-Bahnhof)"""					48.1108830	11.5949017	1065626	info@muenchner-toiletten.de	Täglich, 06.00-24.00 Uhr	Barrierefrei zugänglich (Aufzug)	"Öffentliche Toilette ""Giesing (im U-Bahnhof)"""	"Öffentliche Toilette ""Giesing (im U-Bahnhof)"""			gebührenfrei	Münchner Toiletten GmbH	FALSE	FALSE
1065627	Landeshauptstadt München	MTG	"Öffentliche Toilette ""Goetheplatz (im U-Bahnhof)"""					48.1294727	11.5583095	1065628	info@muenchner-toiletten.de	Täglich, 06.00-24.00 Uhr	Barrierefrei zugänglich (Aufzug) - separates Behinderten-WC	"Öffentliche Toilette ""Goetheplatz (im U-Bahnhof)"""	"Öffentliche Toilette ""Goetheplatz (im U-Bahnhof)"""	mit separatem Behinderten-WC		gebührenfrei	Münchner Toiletten GmbH	FALSE	FALSE
1065629	Landeshauptstadt München	Baureferat	Gollierplatz	Gollierplatz				48.1365425	11.5346154	1065630				"Öffentliche Toilette ""Gollierplatz"""	"Öffentliche Toilette ""Gollierplatz"""	Münz-WC- mit Behinderten-WC	Münz-WC	gebührenpflichtig	Landeshauptstadt München	FALSE	FALSE
1065631	Landeshauptstadt München	MTG	"Öffentliche Toilette ""Großhadern (im U-Bahnhof)"""					48.1150576	11.4770996	1065632	info@muenchner-toiletten.de	Täglich, 06.00-24.00 Uhr	Barrierefrei zugänglich (Aufzug) - separates Behinderten-WC	"Öffentliche Toilette ""Großhadern (im U-Bahnhof)"""	"Öffentliche Toilette ""Großhadern (im U-Bahnhof)"""	mit separatem Behinderten-WC		gebührenfrei	Münchner Toiletten GmbH	FALSE	FALSE
1065633	Landeshauptstadt München	MTG	"Öffentliche Toilette ""Haderner Stern (im U-Bahnhof)"""					48.1184191	11.4906847	1065634	info@muenchner-toiletten.de	Täglich, 06.00-24.00 Uhr	Barrierefrei zugänglich (Aufzug) - separates Behinderten-WC	"Öffentliche Toilette ""Haderner Stern (im U-Bahnhof)"""	"Öffentliche Toilette ""Haderner Stern (im U-Bahnhof)"""	mit separatem Behinderten-WC		gebührenfrei	Münchner Toiletten GmbH	FALSE	FALSE
1065635	Landeshauptstadt München	MTG	"Öffentliche Toilette ""Harthof (im U-Bahnhof)"""					48.2047978	11.5693678	1065636	info@muenchner-toiletten.de	Täglich, 06.00-24.00 Uhr	Barrierefrei zugänglich (Aufzug) - separates Behinderten-WC	"Öffentliche Toilette ""Harthof (im U-Bahnhof)"""	"Öffentliche Toilette ""Harthof (im U-Bahnhof)"""	mit separatem Behinderten-WC		gebührenfrei	Münchner Toiletten GmbH	FALSE	FALSE
